"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '-----------------------------------------------------')","[51784, 102134, 197209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '')","[10466, 10616, 11066, 11116, 11216, 11316, 11566, 11616, 13616, 13666, 13766, 13916, 14016, 14116, 15016, 15266, 15316, 17266, 17466, 29032, 29182, 29232, 31182, 31332, 31732, 31782, 31882, 32132, 32182, 34182, 34232, 34332, 34482, 34582, 34682, 35432, 35682, 35732, 37684, 37884, 49484, 49634, 49684, 51684, 51834, 52234, 52284, 52384, 52484, 52584, 52684, 52784, 53084, 53284, 53384, 53534, 53684, 53884, 53984, 54084, 54234, 54384, 54584, 54684, 54784, 54934, 55084, 55284, 55384, 55484, 55634, 55784, 55984, 56084, 56184, 56334, 56484, 56684, 56784, 56884, 57034, 57184, 57384, 57484, 57584, 57734, 57884, 58084, 58184, 58284, 58434, 58584, 58784, 58884, 58984, 59134, 59284, 59484, 59634, 59734, 59834, 60184, 60234, 60284, 62484, 62634, 63084, 63134, 63234, 63334, 63584, 63634, 65634, 65684, 65784, 65934, 66034, 66134, 66184, 66434, 66484, 68434, 68634, 80134, 80284, 80334, 82284, 82434, 82834, 82884, 82984, 83234, 83284, 85284, 85334, 85434, 85584, 85684, 85784, 85834, 86084, 86134, 88034, 88234, 99834, 99984, 100034, 102034, 102184, 102584, 102634, 102734, 102834, 102934, 103034, 103134, 103434, 103634, 103734, 103884, 104034, 104234, 104334, 104434, 104584, 104734, 104934, 105034, 105134, 105284, 105434, 105634, 105734, 105834, 105984, 106134, 106334, 106434, 106534, 106684, 106834, 107034, 107134, 107234, 107384, 107534, 107734, 107834, 107934, 108084, 108234, 108434, 108534, 108634, 108784, 108934, 109134, 109234, 109334, 109484, 109634, 109834, 109984, 110084, 110184, 110534, 110584, 110634, 114809, 115109, 116009, 116109, 116309, 116509, 117009, 117109, 121109, 121209, 121409, 121709, 121909, 122109, 123909, 124409, 124509, 128409, 128809, 151809, 152109, 152209, 156109, 156409, 157209, 157309, 157509, 158009, 158109, 162109, 162209, 162409, 162709, 162909, 163109, 164609, 165109, 165209, 169009, 169409, 192609, 192909, 193009, 197009, 197309, 198109, 198209, 198409, 198609, 198809, 199009, 199209, 199809, 200209, 200409, 200709, 201009, 201409, 201609, 201809, 202109, 202409, 202809, 203009, 203209, 203509, 203809, 204209, 204409, 204609, 204909, 205209, 205609, 205809, 206009, 206309, 206609, 207009, 207209, 207409, 207709, 208009, 208409, 208609, 208809, 209109, 209409, 209809, 210009, 210209, 210509, 210809, 211209, 211409, 211609, 211909, 212209, 212609, 212909, 213109, 213309, 214009, 214109, 214209, 231204, 231484, 232604, 234035, 234323, 235475]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Filter: COCOON-open-with-patch (115 issues)')",[169184]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    Attachment: CharsetFactory.patch')","[13966, 65984, 121809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Date: Wed, 15 Sep 2010 10:41:34 -0400 (EDT)')","[37284, 87634, 168209]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^message-id: <(.*)>$', 'Subject: Problem with build files in several directories')","[237202, 238402]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-2260 wrong parent version in pom of cocoon-flowscript-impl')","[131234, 172034]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '          Components: Blocks: Cron')","[31582, 82684, 156909]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1963 Add a redirect action to the browser update handler')","[136184, 176984]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testCluster0(org.apache.mahout.clustering.TestClusterEvaluator)')","[262221, 263761, 263772, 263782]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Received: (qmail 29044 invoked by uid 500); 1 Sep 2010 21:03:15 -0000')","[12066, 64084, 118009]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Return-Path: <dev-return-102528-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org>')","[11741, 63759, 117359]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 75370 invoked by uid 99); 8 Sep 2010 14:41:03 -0000')","[16241, 67409, 126359]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 70276 invoked from network); 18 Sep 2010 00:15:21 -0000')","[49909, 100259, 193459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Subscriber: cocoon')","[128684, 169284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1960 Pipeline errors for ""generator/reader already set"" should provide more information')","[136434, 177234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1185')","[148934, 189734]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSequenceFileFromDirectoryBasic(org.apache.mahout.text.TestSequenceFilesFromDirectory)')","[246961, 246982, 247013, 247024, 247034]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', ' jars in rev 959219')","[51384, 101734, 196409]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1329 [PATCH] Fix for cocoon.jar bundled in ear common for portal.war and portlet.war')","[146834, 187634]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1810')","[23074, 43559, 74209, 93909, 139959, 180759]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.text.MailArchivesClusteringAnalyzerTest')",[240222]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '\tfor <dev@cocoon.apache.org>; Wed, 8 Sep 2010 14:40:38 GMT')","[16716, 67884, 127309]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testRunQuery(org.apache.mahout.text.SequenceFilesFromLuceneStorageTest)')","[236051, 236248, 236259, 236269]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '          Issue Type: Bug')","[10841, 52059, 62859, 102409, 115559, 197759]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'https://issues.apache.org/jira/secure/FilterSubscription!default.jspa?subId=10311&filterId=12310771')","[152034, 192834]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o81L0sNK020435')","[9816, 61834, 113509]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1603')","[141934, 182734]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '      mvn deploy:deploy-file -DgroupId=daisy -DartifactId=daisy-util -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]')",[212084]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2030')","[134684, 175484]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-2288 Allow usage of SLF4J for traces')","[130434, 171234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-881  [PATCH] file upload component for usage with flowscript')","[28132, 48584, 79234, 98934, 150009, 190809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Date: Wed, 8 Sep 2010 10:40:37 -0400 (EDT)')","[16841, 68009, 127559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1963 Add a redirect action to the browser update handler')","[21166, 41684, 72334, 92034, 136209, 177009]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '                 Key: COCOON-2300')","[10666, 62684, 115209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 13040 invoked from network); 8 Sep 2010 14:41:09 -0000')",[124884]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2249 XHTMLSerializer uses entity references &quot; and &apos; which cause JavaScript parse errors')","[131384, 172184]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '>')","[14266, 14716, 14816, 14866, 34832, 35282, 35332, 122409, 123309, 123509, 123609, 163409, 164309, 164409]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '[ERROR] BUILD ERROR')",[199534]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.clustering.cdbw.TestCDbwEvaluator')",[273726]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-2297 Character encoding does not follow JTidy properties')","[17766, 38284, 68934, 88634, 129409, 170209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1295')","[26882, 47334, 77984, 97684, 147509, 188309]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '      mvn install:install-file -DgroupId=daisy -DartifactId=daisy-repository-xmlschema-bindings -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file')","[54909, 105259, 203459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '      mvn deploy:deploy-file -DgroupId=nekodtd -DartifactId=nekodtd -Dversion=0.1.11 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]')","[54359, 104709, 202359]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testRunMultipleFields(org.apache.mahout.text.SequenceFilesFromLuceneStorageTest)')","[236093, 236310, 236321, 236331]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'From dev-return-102528-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Wed Sep 01 21:03:16 2010')","[11666, 63684, 117209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1899')","[22274, 42759, 73409, 93109, 138359, 179159]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '70')","[7332, 7640]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '>         Attachments: QuartzJobScheduler.patch')",[164184]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.text.LuceneSegmentRecordReaderTest')",[216534]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Reply-To: dev@cocoon.apache.org')","[112334, 118634, 126034, 153734, 159634, 166734, 194534]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '\tfor <dev@cocoon.apache.org>; Wed, 8 Sep 2010 14:40:38 GMT')",[127284]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 94093 invoked from network); 9 Sep 2010 21:12:00 -0000')",[158534]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '  Try downloading the file manually from the project website.')","[200334, 201734, 203134, 204534, 205934, 207334, 208734, 210134, 211534]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', 'This is another test message.')","[237487, 238687]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testDate(org.apache.mahout.utils.vectors.arff.ARFFVectorIterableTest)')","[5810, 5987, 5998, 6008]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1325')","[26682, 47134, 77784, 97484, 147109, 187909]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'This is just a test message')","[236872, 238072]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2268 To extend the image reader we need to change the visibility to the parameter of the ImageReader')","[18491, 39009, 69659, 89359, 130859, 171659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-871')","[28282, 48734, 79384, 99084, 150309, 191109]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testRun(org.apache.mahout.text.SequenceFilesFromLuceneStorageDriverTest)')","[255843, 255967, 255978, 255988]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2298')","[129284, 170084]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Content-Type: text/plain; charset=""US-ASCII""')","[232429, 235295]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 28199 invoked by uid 99); 9 Sep 2010 21:09:53 -0000')","[30157, 81259, 154059]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2295')","[18041, 38559, 69209, 88909, 129959, 170759]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '\ttests=ALL_TRUSTED')","[113034, 119334, 126734, 154434, 160334, 167434, 195234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1185 [PATCH] BerkeleyDBStore')","[148834, 189634]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2297 Character encoding does not follow JTidy properties')","[129384, 170184]"
"('IndexFileDeleter.java', 'org.apache.lucene.index.IndexFileDeleter', '<init>', '_[a-z0-9]+(_.*)?\\..*', '_1.si')","[218429, 223349, 242160, 245631, 255033, 269067]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Date: Mon, 24 Jul 2000 12:24:56 -0700')","[236662, 237862]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testQuotes(org.apache.mahout.utils.vectors.arff.ARFFVectorIterableTest)')","[5789, 5956, 5967, 5977]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: from athena.apache.org (HELO athena.apache.org) (140.211.11.136)')","[12591, 30207, 33157, 36759, 64609, 81309, 84259, 87109, 119059, 154159, 160059, 167159]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', 'From somebody@example.com  Wed Jul 26 11:32:16 2000')","[236977, 238177]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1929 [PATCH] Reloading classloader in Cocoon 2.2')","[21824, 42309, 72959, 92659, 137459, 178259]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 75370 invoked by uid 99); 8 Sep 2010 14:41:03 -0000')",[126284]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1203')","[27382, 47834, 78484, 98184, 148509, 189309]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-2260 wrong parent version in pom of cocoon-flowscript-impl')","[18666, 39184, 69834, 89534, 131209, 172009]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '\tfor <dev@cocoon.apache.org>; Thu, 9 Sep 2010 21:09:33 GMT')",[154984]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'From dev-return-102529-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Wed Sep 08 14:41:10 2010')","[15391, 66559, 124659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Subject: Ant task for JDK1.1 collections build option')","[230749, 233567]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Message-ID: <7103927.76251283956837977.JavaMail.jira@thor>')","[16791, 67959, 127459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'list-help: <mailto:dev-help@cocoon.apache.org>')","[9066, 12216, 15916, 29832, 32782, 36384, 50284, 61084, 64234, 67084, 80934, 83884, 86734, 100634, 112009, 118309, 125709, 153409, 159309, 166409, 194209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1807 Workaround for IE Bug in <button>')","[23099, 43584, 74234, 93934, 140009, 180809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1603')","[141884, 182684]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-988')","[149934, 190734]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '          Components: Blocks: Serializers')",[115584]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2197')","[132734, 173534]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2300')","[129084, 169884]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1946')","[136884, 177684]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Sat, 18 Sep 2010 00:15:00 +0000')",[195534]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1535')","[142484, 183284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1337')","[146284, 187084]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 73966 invoked from network); 26 Jul 2000 11:32:16 -0000')","[237112, 238312]"
