"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にS1,H4,D6,D8,C3が配られた')",[1984]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', 'ノーペアであるべき')","[2453, 3257, 4061]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'もしチェンジしない                      ')",[1459]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', '前提手札にS1,H4,D6,D8,C3が配られた     ')",[744]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', '前提手札にH3,H9,D1,D8,D9が配られた                     ')",[1404]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'ならば1のワンペアであるべき                   ')",[1376]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '1のワンペアであるべき')",[4731]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'ならばノーペアであるべき           ')",[1046]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', '前提手札にS1,S2,S3,S4,C9が配られた         ')",[909]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'もしチェンジしない                  ')",[1321]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'もしチェンジしない      ')",[826]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'コンストラクタでスートと数字が保持される(cucumber.poker.CardTest$インスタンス化テスト)')",[1641]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'eof')",[716]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'ならばノーペアであるべき       ')",[854]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '9のワンペアであるべき')",[5535]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '1のワンペアであるべき')",[4932]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'comment')",[153]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'ならば9のワンペアであるべき                       ')",[1514]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '手札にH3,H9,D1,D8,D9が配られた')",[5133]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'getメソッドでインスタンスを生成できる(cucumber.poker.CardTest$ファクトリメソッドのテスト)')",[1591]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '手札にH1,H4,D2,D8,D9が配られた')",[3458]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'Iterableであること(cucumber.poker.HandsTest$_5枚のカードを手札にセットする正常系テスト)')",[1716]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'getメソッドでインスタンスを生成できる(cucumber.poker.CardTest$ファクトリメソッドのテスト)')",[1566]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'コンストラクタでスートと数字が保持される(cucumber.poker.HandsTest$_5枚のカードを手札にセットする正常系テスト)')",[1691]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', 'チェンジしない')","[2185, 2989, 3793, 4597, 5401]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にS1,S2,S3,S4,C9が配られた')",[2788]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'ならばノーペアであるべき       ')",[881]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '手札にS1,S2,S3,S4,C9が配られた')",[2654]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'もしチェンジしない      ')",[799]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', 'チェンジしない')","[2118, 2922, 3726, 4530, 5334]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'コンストラクタでスートと数字が保持される(cucumber.poker.HandsTest$_5枚のカードを手札にセットする正常系テスト)')",[1666]
"('PathWithLines.java', 'cucumber.runtime.PathWithLines', '<init>', '^([\\w\\W]*?):([\\d:]+)$', 'classpath:cucumber/poker')",[70]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '9のワンペアであるべき')",[5602]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '手札にS1,H4,D6,D8,C3が配られた')",[1783]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', '前提手札にH3,H9,D1,D8,D9が配られた                     ')",[1431]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', '前提手札にS1,H4,D6,D8,C3が配られた     ')",[771]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '9のワンペアであるべき')",[5669]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', 'ノーペアであるべき')","[2386, 3190, 3994]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'ならばノーペアであるべき           ')",[1019]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '9のワンペアであるべき')",[5736]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', '前提手札にH1,H4,D2,D8,D9が配られた             ')",[1074]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'もしチェンジしない          ')",[964]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'コンストラクタでスートと数字が保持される(cucumber.poker.CardTest$インスタンス化テスト)')",[1616]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'もしチェンジしない              ')",[1129]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'push(meta)')",[110]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '手札にS1,S2,S3,S4,C9が配られた')",[2587]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にH1,H4,D1,D8,D9が配られた')",[4396]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'examples_table')","[476, 516, 556, 596, 636, 676]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '1のワンペアであるべき')",[4865]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', 'ノーペアであるべき')","[2319, 3123, 3927]"
