"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_approveForDeliveryTeam(aaron.test.test.ClaimsReceivedByMonitoringOfficerTest)')","[10756, 14104, 25197, 29944, 37281, 52605, 56385, 69062, 79447, 93837, 97401, 109286, 120090, 136348, 140344, 153813, 166045, 183704, 188024, 202681, 215637, 234230, 238766, 296951, 298753]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n * represents the state in a state machine\n */\npublic interface State extends NamedObject\n{\n    /**\n     * Return a unique name for this state.\n     * \n     * A state may need to be persisted, a common way to do this is \n     * to persist an enumeration of state values.\n     *   \n     * @return the unique name of this state\n     */\n    @Override\n    public String getName();\n    \n    /**\n     * allow callbacks to register their interest\n     * @param listener the listener to register\n     * @return true if the listener was registered successfully\n     */\n    <T extends StateListener> T registerListener(final T listener);\n\n    /**\n     * allow callbacks (listeners) to unregister their interest\n     * @param listener the listener to unregister\n     * @return true if the listener was unregistered successfully\n     */\n    boolean unregisterListener(final StateListener listener);\n    \n    /**\n     * @return an object representing all paths to the given state from this state\n     */\n    TransitionPaths getPaths(final State to);\n}\n')",[254551]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_executeToClaimsStartState(aaron.test.test.ClaimsStartStateTest)')","[17111, 17142, 17173, 18847, 18878, 18909, 27525, 27549, 27573, 40602, 40632, 40662, 59780, 59815, 59850, 61740, 61775, 61810, 71778, 71806, 71834, 82544, 82572, 82600, 100602, 100635, 100668, 102450, 102483, 102516, 111808, 111834, 111860, 123635, 123667, 123699, 143933, 143970, 144007, 146005, 146042, 146079, 156723, 156753, 156783, 169926, 169961, 169996, 191904, 191944, 191984, 194144, 194184, 194224, 205882, 205915, 205948, 219742, 219779, 219816, 242840, 242882, 242924, 245192, 245234, 245276, 305649, 305689, 305729, 306469, 306511, 306553]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_executeToClaimsPaymentComplete(aaron.test.test.ClaimsPaymentCompleteTest)')","[920, 5672, 7532, 22701, 29318, 33750, 34013, 46865, 48965, 66150, 76154, 76399, 88425, 90405, 106582, 116321, 116602, 130280, 132500, 150693, 161919, 162227, 177144, 179544, 199249, 211273, 211599, 227342, 229862, 288981, 289303]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_moveToClaimsReceivedByMonitoringOfficer(aaron.test.test.ClaimsNotReceivedTest)')","[6664, 9268, 23277, 29484, 34607, 47985, 50925, 66822, 76953, 89481, 92253, 107206, 117236, 131464, 134572, 151413, 162921, 178424, 181784, 200041, 212333, 228686, 232214, 290371, 292165]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'com.porpoise.fsm.model.StartStateTest')","[250620, 250643, 250667, 250690]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n * if you use google collections, refactor to use that instead \n */\npublic enum StateLog\n{\n    ;// uninstantiable\n\n    public static String error(final String format, final Object... args)\n    {\n        final String log = ""_error:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String info(final String format, final Object... args)\n    {\n        final String log = ""_info:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String debug(final String format, final Object... args)\n    {\n        final String log = ""_debug:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n    \n    public static String trace(final String format, final Object... args)\n    {\n        return ""_trace:"" + String.format(format, args);\n    }\n}\n')",[254801]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package p;\n\nimport java.util.ArrayList;\nimport java.util.Collection;\nimport java.util.List;\n\n\n/**\n *\n */\npublic class TestStartState extends AbstractTestState \n{\n    /**\n     * the state name\n     */\n    public static final String NAME = ""start-state"";\n\n    \n    /**\n     * @param fsm\n     */\n    TestStartState(final TestStateMachine fsm)\n    {\n        super(fsm);\n    }\n\n    @Override\n    Collection<Transition> initialiseTransitions()\n    {\n         final List<Transition> allTransitions = new ArrayList<Transition>();\n\n        return allTransitions;    \n    }\n    \n\n    /**\n     * @return the state name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[286707]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', 'package p;\n\nimport java.util.ArrayList;\nimport java.util.Collection;\nimport java.util.Collections;\nimport java.util.Iterator;\nimport java.util.LinkedList;\nimport java.util.List;\n\nimport com.google.common.base.Predicate;\nimport com.google.common.base.Predicates;\n\n/**\n * A holder for \'paths\' -- chains of transitions through the state machine\n */\npublic final class TransitionPaths implements Iterable<TransitionPath>\n{\n    private final Collection<TransitionPath> paths;\n\n    TransitionPaths()\n    {\n        this.paths = new ArrayList<TransitionPath>();\n    }\n\n    boolean add(final TransitionPath path)\n    {\n        if (!this.paths.contains(path))\n        {\n            return this.paths.add(path);\n        }\n        return false;\n    }\n \n    /** \n     * @return the paths\n     */\n    public Collection<TransitionPath> getPaths()\n    {\n        return Collections.unmodifiableCollection(this.paths);\n    }\n\n    /** \n     * get the path at index i\n     */\n    public TransitionPath getPath(final int i)\n    {\n        if (i < 0 || i > getPaths().size())\n        {\n            return null;\n        }\n        int index = 0;\n        for (final TransitionPath path : getPaths())\n        {\n            if (index == i)\n                return path;\n            index++;\n        }\n        return null;\n    }\n\n    /**\n     * return the shorted path. Multiple paths may exist with the same length\n     * \n     * @return the shorted path\n     */\n    public TransitionPath getShortestPath()\n    {\n        if (getPaths().isEmpty())\n            return null;\n        return getPathsAsSortedList().get(0);\n    }\n\n    /**\n     * @return a list of paths, shortest first\n     */\n    public List<TransitionPath> getPathsAsSortedList()\n    {\n        final LinkedList<TransitionPath> pathList = new LinkedList<TransitionPath>(getPaths());\n        Collections.sort(pathList);\n        return pathList;\n    }\n\n    /**\n     * @return the number of paths available between two states\n     */\n    public int size()\n    {\n        return this.paths.size();\n    }\n    \n    /**\n     * @return true if there are no paths between the two states\n     */\n    public boolean isEmpty()\n    {\n        return size() == 0;\n    }\n\n\n    /**\n     * @return the iterator\n     */\n    @Override\n    public Iterator<TransitionPath> iterator()\n    {\n        return getPathsAsSortedList().iterator();\n    }\n\n    /**\n     * @param names the name(s) of the transition(s) to include\n     * @return a {@link TransitionPaths} object which contains a subset of this paths object which contain the transition identified by the given name \n     */\n    public final TransitionPaths getPathsWithTransitions(final String ... names)\n    {\n        return filterPaths(PathFilters.byNames(names));\n    }\n\n    /**\n     * @name the name of the transition\n     * @return a {@link TransitionPaths} object which contains a subset of this paths object which does NOT contain the transition identified by the given name \n     */\n    public final TransitionPaths getPathsAvoidingTransitions(final String ... names)\n    {\n        final Predicate<TransitionPath> filter = PathFilters.byNames(names); \n        return filterPaths(Predicates.not(filter));\n    }\n    \n    /**\n     * @param filter the filter to apply to child paths\n     * @return a new TransitionPaths object which only contains TransitionPaths which match the given filter \n     */\n    public TransitionPaths filterPaths(final Predicate<TransitionPath> filter)\n    {\n        final TransitionPaths matchingPaths = new TransitionPaths();\n        for (final TransitionPath path : this)\n        {\n            if (filter.apply(path))\n            {\n                matchingPaths.add(path);\n            }\n        }\n        return matchingPaths;\n    }\n    \n    /**\n     * @return a string representation\n     */\n    @Override\n    public String toString()\n    {\n        final String newLine = String.format(""%n"");\n        final StringBuilder b = new StringBuilder();\n        for (final Object path : this.paths)\n        {\n            b.append(path).append(newLine);\n        }\n        return b.toString();\n    }\n    \n}')",[282007]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_submitToHeadOfDelivery(aaron.test.test.ClaimsNotReceivedTest)')","[7284, 9888, 23757, 29589, 35207, 48685, 51625, 67382, 77513, 90141, 92913, 107726, 117876, 132204, 135312, 152013, 163621, 179224, 182584, 200701, 213073, 229526, 233054, 291171, 293005]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', ""package aaron.test.test;\n\nimport java.util.List;\nimport java.util.concurrent.atomic.AtomicBoolean;\n\nimport aaron.test.*;\nimport aaron.test.TransitionGuard.Reasons;\nimport aaron.test.StateListeners.RecordingListener;\nimport org.junit.*;\n\nimport com.google.common.base.Predicate;\n\n/**\n * tests for ClaimsPaymentComplete\n */\npublic class ClaimsPaymentCompleteTest extends AbstractClaimsTest\n{\n    /**\n     * test the state machine can move into the 'ClaimsPaymentComplete' state\n     */\n    @Test\n    public void test_executeToClaimsPaymentComplete()\n    {\n        Assert.assertNotNull(moveToClaimsPaymentComplete());\n    }\n\n    /**\n     * test the state machine retrieves the correct when given the state name for 'paymentComplete' \n     */\n    @Test\n    public void test_getStateForName()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final String name =fsm.paymentComplete().getName();\n        Assert.assertEquals(fsm.paymentComplete(), fsm.getStateForName(name));\n    }\n\n    /**\n     * @return a state machine instance in the paymentComplete state\n     */\n    final ClaimsPaymentComplete moveToClaimsPaymentComplete()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final ClaimsPaymentComplete paymentComplete = fsm.paymentComplete();\n\n        // call the method under test\n        fsm.executeToState(paymentComplete);\n\n        Assert.assertSame(paymentComplete, fsm.getCurrentState());\n        Assert.assertEquals(paymentComplete.getName(), fsm.getCurrentStateName());\n        \n        return paymentComplete;\n    }\n\n}\n"")",[274493]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\nimport java.util.List;\nimport java.util.concurrent.CopyOnWriteArrayList;\n\n/**\n *\n */\nclass StateNotifier\n{\n    private final List<StateListener> listeners;\n    \n    private enum TransitionType {\n        ENTER {\n            @Override\n            public TransitionGuard fire(final StateListener listener, final Transition transition)\n            {\n                return listener.onEnter(transition);\n            }\n        },\n        EXIT {\n            @Override\n            public TransitionGuard fire(final StateListener listener, final Transition transition)\n            {\n                return listener.onExit(transition);\n            }\n        };\n        \n        public abstract TransitionGuard fire(StateListener listener, Transition trans);\n    }\n\n    /**\n     */\n    StateNotifier()\n    {\n        super();\n        this.listeners = new CopyOnWriteArrayList<StateListener>();\n    }\n\n    /**\n     * @param listener the listener\n     * @return true if the listener was registered\n     */\n    public boolean registerListener(final StateListener listener)\n    {\n        if (listener == null)\n            return false;\n        return this.listeners.add(listener);\n    }\n\n    /**\n     * @param listener the listener\n     * @return true if the listener was unregistered\n     */\n    public boolean unregisterListener(final StateListener listener)\n    {\n        if (listener == null)\n            return false;\n        return this.listeners.remove(listener);\n    }\n\n\n    final TransitionGuard onBeforeTransition(final Transition transition)\n    {\n        return fireTransition(transition, TransitionType.EXIT);\n    }\n\n    final TransitionGuard onAfterTransition(final Transition transition)\n    {\n        return fireTransition(transition, TransitionType.ENTER);\n    }\n\n    final TransitionGuard fireTransition(final Transition transition, final TransitionType type)\n    {\n        TransitionGuard result = TransitionGuard.ok();\n\n        //\n        // fire general-purpose listeners\n        //\n        for (final StateListener listener : this.listeners)\n        {\n            final TransitionGuard condition = type.fire(listener, transition);\n            if (condition.stop())\n            {\n                StateLog.debug(""asked to stop immediately by listener \'%s\' for transition \'%s\'. Reason=%s"", listener, transition, condition.getReason());\n                return condition;\n            }\n            else if (!condition.continueProcessing())\n            {\n                StateLog.debug(""asked to stop eventually by listener \'%s\' for transition \'%s\'. Reason=%s"", listener, transition, condition.getReason());\n                // if *any* listener asks to stop, then set the result to stop\n                result = condition;\n            }\n        }\n        return result;\n    }\n\n    /**\n     * @return the string representation\n     */\n    @Override\n    public String toString()\n    {\n        final String newLine = String.format(""%n"");\n        final StringBuilder b = new StringBuilder();\n        for (final StateListener listener : this.listeners)\n        {\n            b.append(listener).append(newLine);\n        }\n        return String.format(""Listeners: %s"", b);\n    }\n}\n')",[261573]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsInit extends AbstractTransition<ClaimsStartState, ClaimsNotReceived>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""init"";\n\n    TransitionClaimsInit(final ClaimsStartState from, final ClaimsNotReceived to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[268150]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'aaron.test.test.ClaimsPaymentRejectedTest')","[310894, 310914, 310935, 310955]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', 'package aaron.test;\n\n/**\n * if you use google collections, refactor to use that instead \n */\npublic enum StateLog\n{\n    ;// uninstantiable\n\n    public static String error(final String format, final Object... args)\n    {\n        final String log = ""_error:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String info(final String format, final Object... args)\n    {\n        final String log = ""_info:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String debug(final String format, final Object... args)\n    {\n        final String log = ""_debug:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n    \n    public static String trace(final String format, final Object... args)\n    {\n        return ""_trace:"" + String.format(format, args);\n    }\n}\n')",[254984]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\nimport java.io.PrintStream;\nimport java.util.ArrayList;\nimport java.util.Collections;\nimport java.util.List;\n\nimport com.google.common.base.Predicate;\n\n/**\n * A collection of useful implementations of StateListener\n */\npublic enum StateListeners \n{\n    ;//uninstantiable\n    \n    static class BlockEntryListener extends ListenerAdapter\n    {\n        private final Enum<?> reason;\n        public BlockEntryListener(final Enum<?> reason)\n        {\n            super(TransitionGuard.stopEventually(reason), TransitionGuard.ok());\n            this.reason = reason;\n        }\n        public BlockEntryListener()\n        {\n            this(null);\n        }\n\n        @Override\n        public String toString()\n        {\n            return String.format(""block entry (reason=%s)"", this.reason);\n        }\n    }\n\n    static class BlockExitListener extends ListenerAdapter\n    {\n        private final Enum<?> reason;\n        public BlockExitListener(final Enum<?> reason)\n        {\n            super(TransitionGuard.ok(), TransitionGuard.stopEventually(reason));\n            this.reason = reason;\n        }\n        public BlockExitListener()\n        {\n            this(null);\n        }\n\n        @Override\n        public String toString()\n        {\n            return String.format(""block exit (reason=%s)"", this.reason);\n        }\n    }\n\n    /**\n     */\n    public static RecordingListener recordingListener()\n    {\n        return new RecordingListener();\n    }\n\n    /**\n     * a listener which records the transitions\n     */\n    public static class RecordingListener extends ListenerAdapter\n    {\n        private final List<Transition> enterTransitions = new ArrayList<Transition>();\n        private final List<Transition> exitTransitions  = new ArrayList<Transition>();\n\n        @Override\n        public TransitionGuard onExit(final Transition transition)\n        {\n            this.exitTransitions.add(transition);\n            return TransitionGuard.ok();\n        }\n\n        @Override\n        public TransitionGuard onEnter(final Transition transition)\n        {\n            this.enterTransitions.add(transition);\n            return TransitionGuard.ok();\n        }\n\n        /**\n         * @return the exit transitions\n         */\n        public List<Transition> getExitTransitions()\n        {\n            return Collections.unmodifiableList(this.exitTransitions);\n        }\n\n        /**\n         * @return the enter transitions\n         */\n        public List<Transition> getEnterTransitions()\n        {\n            return Collections.unmodifiableList(this.enterTransitions);\n        }\n\n        @Override\n        public String toString()\n        {\n            return ""recording listener"";\n        }\n    }\n\n    /**\n     */\n    public static class EchoListener extends ListenerAdapter\n    {\n        private final PrintStream out;\n\n        public EchoListener(final PrintStream outStream)\n        {\n            if (outStream == null)\n            {\n                throw new NullPointerException();\n            }\n            this.out = outStream;\n        }\n\n        @Override\n        public TransitionGuard onEnter(final Transition transition)\n        {\n            this.out.println(String.format(""enter \'%s\' via \'%s\'"", transition.getTarget().getName(), transition.getName()));\n            return TransitionGuard.ok();\n        }\n\n        @Override\n        public TransitionGuard onExit(final Transition transition)\n        {\n            this.out.println(String.format(""exit \'%s\' via \'%s\'"", transition.getSource().getName(), transition.getName()));\n            return TransitionGuard.ok();\n        }\n        @Override\n        public String toString()\n        {\n            return ""echo listener"";\n        }\n    }\n\n    public static EchoListener echoListener(final PrintStream out)\n    {\n        return new EchoListener(out);\n    }\n\n    /**\n     * @return the registered listener\n     */\n    public static StateListener blockEntryListener()\n    {\n        return blockEntryListener(null);\n    }\n\n    /**\n     * @return the registered listener\n     */\n    public static StateListener blockEntryListener(final Enum<?> reason)\n    {\n        return new BlockEntryListener(reason);\n    }\n\n    /**\n     * @return the listener\n     */\n    public static StateListener blockExitListener()\n    {\n        return blockExitListener(null);\n    }\n\n    /**\n     * @return the listener\n     */\n    public static StateListener blockExitListener(final Enum<?> reason)\n    {\n        return new BlockExitListener(reason);\n    }\n\n    /**\n     * @param state\n     *            the state to match\n     * @return a predicate which will return true for transitions whos target state matches the given state\n     */\n    public static Predicate<Transition> targetStateEquals(final State state)\n    {\n        if (state == null)\n        {\n            throw new NullPointerException(""state cannot be null"");\n        }\n        return new Predicate<Transition>() {\n\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return value.getTarget().equals(state);\n            }\n        };\n    }\n\n    /**\n     * @param state\n     *            the state to match\n     * @return a predicate which will return true for transitions whos source state matches the given state\n     */\n    public static Predicate<Transition> sourceStateEquals(final State state)\n    {\n        if (state == null)\n        {\n            throw new NullPointerException(""state cannot be null"");\n        }\n        return new Predicate<Transition>() {\n\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return value.getSource().equals(state);\n            }\n        };\n    }\n\n    /**\n     * @param the reason\n     * @return the registered listener\n     */\n    public static StateListener blockEntry(final State state, final Enum<?> reason)\n    {\n        final StateListener listener = filter(targetStateEquals(state), blockEntryListener(reason));\n        return listener;\n    }\n\n    /**\n     * @param the reason\n     * @return the registered listener\n     */\n    public static StateListener blockExit(final State state, final Enum<?> reason)\n    {\n        final StateListener listener = filter(sourceStateEquals(state), blockExitListener(reason));\n        return listener;\n    }\n\n    /**\n     * @param filter\n     *            the filter to apply to the given listener\n     * @param listener\n     *            the listener to wrap\n     * @return the wrapped listener\n     */\n    public static ConditionalStateListener filter(final Predicate<Transition> filter, final StateListener listener)\n    {\n        return new ConditionalStateListener(filter, listener);\n    }\n\n    /**\n     * @param listeners\n     *            the listeners to treat as a single group\n     * @return the grouped listener\n     */\n    public static GroupStateListener group(final StateListener... listeners)\n    {\n        return new GroupStateListener(listeners);\n    }\n\n    /**\n     * @param listeners\n     *            the listeners to treat as a single group\n     * @return the group listener which you can turn on and off\n     */\n    public static ConditionalStateListener group(final Predicate<Transition> predicate, final StateListener... listeners)\n    {\n        return filter(predicate, group(listeners));\n    }\n }')",[260837]
