"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[21: multipartResolve(Bethel DE US)]')",[1124]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'discuss')","[55303, 55884, 99656, 100970, 274044, 274625, 318397, 319711]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testAncestryLoadMode_LazyLoad(com.bericotech.clavin.gazetteer.query.LuceneGazetteerTest)')","[5431, 8823]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'lightly')","[81958, 82845, 300699, 301586]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'ICG')","[99406, 100730, 318147, 319471]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'kind.')","[183873, 184377, 402614, 403118]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'otherwise.')","[225590, 226166, 444331, 444907]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'United')","[64584, 64783, 189675, 190521, 283325, 283524, 408416, 409262]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'it.')","[40379, 40763, 259120, 259504]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveLocations_NullLocationOccurrence(com.bericotech.clavin.gazetteer.query.LuceneGazetteerTest)')","[5347, 8739]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testTopLevelAncestryKeys(com.bericotech.clavin.gazetteer.BasicGeoNameTest)')","[4887, 8298]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testBorderCases(com.bericotech.clavin.resolver.ClavinLocationResolverHeuristicsTest)')","[4170, 7752]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hard')","[110721, 111604, 329462, 330345]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'believed')","[51986, 52677, 270727, 271418]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Kismayo')","[132768, 133801, 351509, 352542]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testHeuristicsOntario(com.bericotech.clavin.resolver.ClavinLocationResolverHeuristicsTest)')","[4086, 7668]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hosted')","[46921, 47765, 265662, 266506]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Boubacar')","[89422, 90206, 101952, 102786, 308163, 308947, 320693, 321527]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Chirchir.')","[158845, 159277, 377586, 378018]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'speedy')","[175722, 177233, 394463, 395974]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'home')","[50460, 51339, 269201, 270080]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '23,')","[56604, 57430, 275345, 276171]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[37: multipartResolve([Ashmore and Cartier Islands] 2,077,507)]')",[3387]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'initiative')","[225415, 225998, 444156, 444739]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hence,')","[225240, 225830, 443981, 444571]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'part')","[41911, 42598, 144498, 145173, 147997, 148936, 260652, 261339, 363239, 363914, 366738, 367677]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Parliamentarians')","[32708, 33263, 251449, 252004]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'AMISOM,')","[109818, 110086, 328559, 328827]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'top')","[51861, 52557, 153533, 154173, 270602, 271298, 372274, 372914]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'infighting.')","[63106, 63922, 281847, 282663]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'level')","[107657, 108334, 212916, 213429, 326398, 327075, 431657, 432170]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Puntland')","[144223, 144909, 147472, 148432, 149445, 149930, 150338, 151130, 152632, 152931, 214562, 215341, 362964, 363650, 366213, 367173, 368186, 368671, 369079, 369871, 371373, 371672, 433303, 434082]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'together')","[114685, 115106, 333426, 333847]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Jama')","[38927, 39499, 257668, 258240]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[28: multipartResolve( ENG UK)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[1455, 6252]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Village')","[50535, 51411, 269276, 270152]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'left')","[65937, 66275, 153858, 154485, 284678, 285016, 372599, 373226]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'discussion')","[44369, 44966, 263110, 263707]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Iraq.')","[192837, 193461, 411578, 412202]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'explosions.')","[143681, 143873, 362422, 362614]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'get')","[16389, 16514, 16953, 17073, 108991, 109547, 235130, 235255, 235694, 235814, 327732, 328288]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[6: multipartResolve([Reston, Fairfax, Virginia, United States] 4,781,530)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2046, 6538]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'illegally')","[40329, 40715, 259070, 259456]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'commended')","[109693, 109966, 328434, 328707]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[27: multipartResolve(Zurich ZH CH)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[1411, 6230]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'terms.')","[83959, 84439, 302700, 303180]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'thanked')","[23130, 23446, 46196, 47069, 108666, 109235, 241871, 242187, 264937, 265810, 327407, 327976]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'policy')","[99831, 101138, 318572, 319879]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'round')","[44319, 44918, 263060, 263659]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'efforts')","[12198, 12587, 23742, 24159, 108866, 109427, 146548, 146867, 230939, 231328, 242483, 242900, 327607, 328168, 365289, 365608]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Baugh')","[120583, 121047, 339324, 339788]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '“Inclusivity')","[214062, 214861, 432803, 433602]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'ungovernable')","[176247, 177737, 394988, 396478]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'exercises')","[161065, 161746, 379806, 380487]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'why')","[128093, 129138, 346834, 347879]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'communities')","[14758, 15698, 233499, 234439]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'area,')","[145569, 146086, 154807, 155622, 364310, 364827, 373548, 374363]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Gedo')","[159802, 160406, 161265, 161938, 378543, 379147, 380006, 380679]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Chinese')","[65687, 66035, 284428, 284776]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'desperate')","[73023, 73865, 92554, 93451, 164641, 165483, 291764, 292606, 311295, 312192, 383382, 384224]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'nighttime')","[137799, 138467, 356540, 357208]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'titled')","[190827, 191523, 409568, 410264]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'peacekeepers')","[180705, 181146, 399446, 399887]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'distorting')","[39377, 39931, 258118, 258672]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[3: multipartResolve(Springfield Virginia United States)]')",[332]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Sunna')","[40875, 41248, 197760, 198346, 198873, 199164, 204339, 204703, 259616, 259989, 416501, 417087, 417614, 417905, 423080, 423444]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'tens')","[32633, 33191, 251374, 251932]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'cheques')","[65962, 66299, 284703, 285040]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'cooperation')","[30126, 30921, 248867, 249662]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '(a)')","[226517, 227329, 445258, 446070]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'suicide')","[31105, 31678, 33889, 34113, 59121, 59338, 71504, 72271, 72898, 73745, 78545, 79368, 82208, 83085, 94329, 95280, 163122, 163889, 164516, 165363, 170163, 170986, 171517, 171981, 249846, 250419, 252630, 252854, 277862, 278079, 290245, 291012, 291639, 292486, 297286, 298109, 300949, 301826, 313070, 314021, 381863, 382630, 383257, 384104, 388904, 389727, 390258, 390722]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'talk)')","[201833, 202410, 420574, 421151]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '10')","[57771, 58393, 276512, 277134]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Diarra')","[89472, 90254, 308213, 308995]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'what')","[43295, 43934, 184852, 185458, 203528, 203822, 262036, 262675, 403593, 404199, 422269, 422563]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'jurisdiction')","[149395, 149882, 368136, 368623]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'motive')","[84539, 84960, 303280, 303701]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'coordinate')","[56254, 57094, 274995, 275835]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'inflicting')","[199648, 200309, 418389, 419050]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSanitizedInput(com.bericotech.clavin.gazetteer.query.LuceneGazetteerTest)')","[5452, 8844]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'lives')","[87324, 88864, 175322, 176849, 306065, 307605, 394063, 395590]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testTerritoryAncestryKeys(com.bericotech.clavin.gazetteer.BasicGeoNameTest)')","[4845, 8256]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'under')","[149345, 149545, 149834, 150026, 368086, 368286, 368575, 368767]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'discussed')","[24475, 25321, 243216, 244062]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testDamerauLevenshteinDistanceCaseInsensitive(com.bericotech.clavin.util.DamerauLevenshteinTest)')","[4395, 7920]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[14: multipartResolve(Oxford Oxfordshire United Kingdom)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[839, 5944]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[38: multipartResolve([Ashmore and Cartier Islands, Australia] 2,077,507)]')",[3431]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'solution.')","[218604, 219636, 437345, 438377]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'upon')","[187499, 188406, 406240, 407147]"
