"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7_Lucene50_0.doc')",[950225]
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'B')","[66064, 103984, 104944, 105904, 188295, 226215, 227175, 228135, 324267, 362187, 363147, 364107, 460773, 498693, 499653, 500613, 610769, 648689, 649649, 650609]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', 'T')","[28240, 31120, 39760, 41200, 41680, 45520, 46960, 47920, 52720, 54160, 70000, 75280, 76720, 80080, 83440, 92080, 98800, 102640, 103120, 110320, 114640, 118480, 123760, 127120, 127600, 128080, 129040, 129520, 130000, 132880, 138640, 150471, 153351, 161991, 163431, 163911, 167751, 169191, 170151, 174951, 176391, 192231, 197511, 198951, 202311, 205671, 214311, 221031, 224871, 225351, 232551, 236871, 240711, 245991, 249351, 249831, 250311, 251271, 251751, 252231, 255111, 260871, 286443, 289323, 297963, 299403, 299883, 303723, 305163, 306123, 310923, 312363, 328203, 333483, 334923, 338283, 341643, 350283, 357003, 360843, 361323, 368523, 372843, 376683, 381963, 385323, 385803, 386283, 387243, 387723, 388203, 391083, 396843, 422949, 425829, 434469, 435909, 436389, 440229, 441669, 442629, 447429, 448869, 464709, 469989, 471429, 474789, 478149, 486789, 493509, 497349, 497829, 505029, 509349, 513189, 518469, 521829, 522309, 522789, 523749, 524229, 524709, 527589, 533349, 572945, 575825, 584465, 585905, 586385, 590225, 591665, 592625, 597425, 598865, 614705, 619985, 621425, 624785, 628145, 636785, 643505, 647345, 647825, 655025, 659345, 663185, 668465, 671825, 672305, 672785, 673745, 674225, 674705, 677585, 683345]"
"('PackagePartName.java', 'org.apache.poi.openxml4j.opc.PackagePartName', 'isRelationshipPartURI', '^.*/_rels/.*\\.rels$', '/word/document.xml')","[399873, 399922, 402040, 402088, 405509, 405557, 411241, 411286, 411331, 411375, 411420, 411464, 411514, 411563, 536078, 536127, 538245, 538293, 541714, 541762, 547446, 547491, 547536, 547580, 547625, 547669, 547719, 547768, 686074, 686123, 688241, 688289, 691710, 691758, 697442, 697487, 697532, 697576, 697621, 697665, 697715, 697764]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825118369')",[857263]
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', 'settings.xml')","[406119, 542324, 692320]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825362738')",[947256]
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.fdx')","[718850, 738056, 739225, 739935, 740210, 760051, 762291, 763001, 789514, 815291, 842944, 862513, 881406, 902028, 902512, 925100, 925584, 926012, 926367, 926897, 946673, 948197, 1004449, 1005190, 1005900]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', '7')","[25456, 147687, 283659, 420165, 570161]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', '2')","[22384, 22864, 23344, 78544, 144615, 145095, 145575, 200775, 280587, 281067, 281547, 336747, 417093, 417573, 418053, 473253, 567089, 567569, 568049, 623249]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testDeletesIMAPIntgr(de.saly.elasticsearch.imap.RiverPopImapTestCase)')","[307, 676, 883859]"
"('PackagePartName.java', 'org.apache.poi.openxml4j.opc.PackagePartName', 'isRelationshipPartURI', '^.*/_rels/.*\\.rels$', '/word/header1.xml')","[400863, 400912, 403169, 403217, 409512, 409560, 411706, 411753, 412745, 412790, 537068, 537117, 539374, 539422, 545717, 545765, 547911, 547958, 548950, 548995, 687064, 687113, 689370, 689418, 695713, 695761, 697907, 697954, 698946, 698991]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'Q')","[28336, 150567, 286539, 423045, 573041]"
"('Translog.java', 'org.elasticsearch.index.translog.Translog$OnCloseRunnable', 'handle', '^translog-(\\d+)(\\.tlog)$', 'translog-2.tlog')","[263778, 263917, 264017, 264156, 550280, 550419, 550519, 550658, 700276, 700415, 700515, 700654, 719053, 719192, 719240, 719379, 719427, 719566, 719614, 719753, 719801, 720027, 740848, 741161, 741209, 741522, 741570, 741883, 741931, 742157, 742205, 742518, 763914, 764053, 764101, 764240, 764288, 764427, 764475, 764614, 764662, 764888, 794901, 795040, 795088, 795227, 795275, 795414, 795462, 795601, 795649, 795788, 795836, 795975, 796023, 796162, 796210, 796610, 796658, 796797, 796845, 797071, 797119, 797345, 797393, 797532, 797580, 797806, 797854, 798080, 798128, 798267, 818927, 819066, 819114, 819253, 819301, 819440, 819488, 819627, 819675, 819901, 843147, 843286, 843334, 843473, 843521, 843656, 843795, 843847, 843895, 844034, 844134, 844273, 844373, 844512, 844560, 844699, 862716, 862855, 862903, 863042, 863090, 863229, 863277, 863416, 863464, 863690, 882865, 883004, 883052, 883191, 883239, 883378, 883426, 883565, 883613, 883839, 905016, 905155, 905203, 905342, 905390, 905616, 905664, 905803, 905851, 906164, 927635, 927861, 927909, 928135, 928183, 928409, 928457, 928596, 928644, 928870, 950011, 950150, 950553, 950779, 950827, 951053, 951101, 951240, 951288, 951427, 967817, 967956, 968004, 968143, 968191, 968330, 968378, 968517, 968565, 968704, 985882, 986021, 986069, 986208, 986256, 986395, 986443, 986582, 986630, 986769, 1007297, 1007523, 1007571, 1007884, 1007932, 1008158, 1008206, 1008519, 1008567, 1008967]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.si')","[719005, 719975, 738253, 739380, 740365, 740445, 741109, 741470, 741831, 742379, 760248, 762446, 763156, 764375, 764562, 789711, 796471, 815488, 819762, 843099, 844647, 862668, 863638, 881561, 902225, 902709, 905477, 905938, 925297, 925781, 926167, 926522, 927077, 927809, 928083, 928270, 928544, 928731, 946870, 948352, 951188, 1004604, 1005345, 1006055, 1007832, 1008467, 1008741]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'e')","[137344, 137824, 259575, 260055, 395547, 396027, 532053, 532533, 682049, 682529]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'K')","[95632, 217863, 353835, 490341, 640337]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[IVXL]+\\.', 'i')","[78112, 200343, 336315, 472821, 622817]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', 'e')","[137680, 138160, 259911, 260391, 395883, 396363, 532389, 532869, 682385, 682865]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825146260')",[882364]
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::36')","[787839, 787877, 787985, 788017, 790692, 790730, 790838, 790870]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::22')","[859537, 859575, 859683, 859715, 964467, 964505, 964613, 964645]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'L')","[51952, 72592, 93232, 110512, 174183, 194823, 215463, 232743, 310155, 330795, 351435, 368715, 446661, 467301, 487941, 505221, 596657, 617297, 637937, 655217]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'S')","[33184, 35104, 36544, 40384, 42784, 43264, 53344, 92704, 97984, 99424, 116224, 155415, 157335, 158775, 162615, 165015, 165495, 175575, 214935, 220215, 221655, 238455, 291387, 293307, 294747, 298587, 300987, 301467, 311547, 350907, 356187, 357627, 374427, 427893, 429813, 431253, 435093, 437493, 437973, 448053, 487413, 492693, 494133, 510933, 577889, 579809, 581249, 585089, 587489, 587969, 598049, 637409, 642689, 644129, 660929]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_3.nvd')","[740545, 761766, 789839, 818624, 881692, 902868, 904358, 926622, 927332, 947356, 1004735]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::33')","[999437, 999475, 999583, 999615]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[IVXL]+\\.', 'C')","[27712, 29152, 44032, 44992, 47392, 48352, 49312, 54592, 58432, 61792, 70432, 73792, 74752, 81952, 82912, 83872, 93952, 94432, 96352, 103552, 108832, 116032, 118912, 124672, 134272, 140032, 149943, 151383, 166263, 167223, 169623, 170583, 171543, 176823, 180663, 184023, 192663, 196023, 196983, 204183, 205143, 206103, 216183, 216663, 218583, 225783, 231063, 238263, 241143, 246903, 256503, 262263, 285915, 287355, 302235, 303195, 305595, 306555, 307515, 312795, 316635, 319995, 328635, 331995, 332955, 340155, 341115, 342075, 352155, 352635, 354555, 361755, 367035, 374235, 377115, 382875, 392475, 398235, 422421, 423861, 438741, 439701, 442101, 443061, 444021, 449301, 453141, 456501, 465141, 468501, 469461, 476661, 477621, 478581, 488661, 489141, 491061, 498261, 503541, 510741, 513621, 519381, 528981, 534741, 572417, 573857, 588737, 589697, 592097, 593057, 594017, 599297, 603137, 606497, 615137, 618497, 619457, 626657, 627617, 628577, 638657, 639137, 641057, 648257, 653537, 660737, 663617, 669377, 678977, 684737]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'I')","[44176, 48496, 59536, 60976, 62416, 64336, 66256, 96496, 106096, 117616, 126256, 128176, 131536, 166407, 170727, 181767, 183207, 184647, 186567, 188487, 218727, 228327, 239847, 248487, 250407, 253767, 302379, 306699, 317739, 319179, 320619, 322539, 324459, 354699, 364299, 375819, 384459, 386379, 389739, 438885, 443205, 454245, 455685, 457125, 459045, 460965, 491205, 500805, 512325, 520965, 522885, 526245, 588881, 593201, 604241, 605681, 607121, 609041, 610961, 641201, 650801, 662321, 670961, 672881, 676241]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', '7')","[25648, 147879, 283851, 420357, 570353]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'U')","[31744, 68704, 112384, 153975, 190935, 234615, 289947, 326907, 370587, 426453, 463413, 507093, 576449, 613409, 657089]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'N')","[101584, 113104, 113584, 120784, 223815, 235335, 235815, 243015, 359787, 371307, 371787, 378987, 496293, 507813, 508293, 515493, 646289, 657809, 658289, 665489]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515824903978')",[13442]
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_6.fnm')",[949735]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testDeletesPOP(de.saly.elasticsearch.imap.RiverPopImapTestCase)')","[349, 720, 928890]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\)', '4')","[24736, 146967, 282939, 419445, 569441]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', 'T')","[28048, 30928, 39568, 41008, 41488, 45328, 46768, 47728, 52528, 53968, 69808, 75088, 76528, 79888, 83248, 91888, 98608, 102448, 102928, 110128, 114448, 118288, 123568, 126928, 127408, 127888, 128848, 129328, 129808, 132688, 138448, 150279, 153159, 161799, 163239, 163719, 167559, 168999, 169959, 174759, 176199, 192039, 197319, 198759, 202119, 205479, 214119, 220839, 224679, 225159, 232359, 236679, 240519, 245799, 249159, 249639, 250119, 251079, 251559, 252039, 254919, 260679, 286251, 289131, 297771, 299211, 299691, 303531, 304971, 305931, 310731, 312171, 328011, 333291, 334731, 338091, 341451, 350091, 356811, 360651, 361131, 368331, 372651, 376491, 381771, 385131, 385611, 386091, 387051, 387531, 388011, 390891, 396651, 422757, 425637, 434277, 435717, 436197, 440037, 441477, 442437, 447237, 448677, 464517, 469797, 471237, 474597, 477957, 486597, 493317, 497157, 497637, 504837, 509157, 512997, 518277, 521637, 522117, 522597, 523557, 524037, 524517, 527397, 533157, 572753, 575633, 584273, 585713, 586193, 590033, 591473, 592433, 597233, 598673, 614513, 619793, 621233, 624593, 627953, 636593, 643313, 647153, 647633, 654833, 659153, 662993, 668273, 671633, 672113, 672593, 673553, 674033, 674513, 677393, 683153]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\.', '7')","[25408, 147639, 283611, 420117, 570113]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', '1')","[20560, 21040, 21520, 22000, 142791, 143271, 143751, 144231, 278763, 279243, 279723, 280203, 415269, 415749, 416229, 416709, 565265, 565745, 566225, 566705]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', '/')","[84400, 84880, 85360, 85840, 109840, 111760, 121840, 122320, 125200, 125680, 126160, 135280, 135760, 136240, 206631, 207111, 207591, 208071, 232071, 233991, 244071, 244551, 247431, 247911, 248391, 257511, 257991, 258471, 342603, 343083, 343563, 344043, 368043, 369963, 380043, 380523, 383403, 383883, 384363, 393483, 393963, 394443, 479109, 479589, 480069, 480549, 504549, 506469, 516549, 517029, 519909, 520389, 520869, 529989, 530469, 530949, 629105, 629585, 630065, 630545, 654545, 656465, 666545, 667025, 669905, 670385, 670865, 679985, 680465, 680945]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'c')","[38512, 130192, 130672, 131152, 160743, 252423, 252903, 253383, 296715, 388395, 388875, 389355, 433221, 524901, 525381, 525861, 583217, 674897, 675377, 675857]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825379157')",[963991]
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', '/word/settings.xml')","[402133, 407286, 538338, 543491, 688334, 693487]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4.nvd')","[763611, 882078, 904713, 947742, 1006510]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'w')","[36016, 37936, 158247, 160167, 294219, 296139, 430725, 432645, 580721, 582641]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\.', 'Q')","[28288, 150519, 286491, 422997, 572993]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'L')","[52000, 72640, 93280, 110560, 174231, 194871, 215511, 232791, 310203, 330843, 351483, 368763, 446709, 467349, 487989, 505269, 596705, 617345, 637985, 655265]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825253568')",[922683]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testAttachments2(de.saly.elasticsearch.imap.AttachmentMapperTest)')","[78, 456, 264176]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825061395')",[755082]
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'E')","[63040, 136960, 185271, 259191, 321243, 395163, 457749, 531669, 607745, 681665]"
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?s)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-Gnumeric-spreadsheet')","[16290, 18741]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'O')","[136384, 258615, 394587, 531093, 681089]"
"('MetaDataStateFormat.java', 'org.elasticsearch.gateway.MetaDataStateFormat', 'findMaxStateId', '\\Qstate-\\E(\\d+)(.st)?', 'state-2.st')","[716875, 790199, 814934, 814969, 815004, 840228, 860538, 879400, 899966, 944580, 984059]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', 'E')","[63280, 137200, 185511, 259431, 321483, 395403, 457989, 531909, 607985, 681905]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825252483')","[918722, 918753]"
