"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o8FEfYjF006141')",[160959]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-867  [PATCH] wsinclude and htmlinclude transformers')","[21390, 41790, 72440, 92140, 143484, 184866]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Return-Path: <dev-return-102532-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org>')","[28890, 79240, 158484]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-2173 AbstractCachingProcessingPipeline: Two requests can deadlock each other')","[12565, 32965, 63615, 83315, 125834, 166670]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2173')","[125959, 166795]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1384')","[18640, 39040, 69690, 89390, 137984, 179118]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 01 Sep 2010 21:01:33 +0000')","[2565, 54465, 105790]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'To: <ant-user@jakarta.apache.org>')","[272617, 274157, 275432, 277016]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1260')","[20015, 40415, 71065, 90765, 140734, 181868]"
"('LuceneIndexFileNameFilter.java', 'org.apache.mahout.text.LuceneIndexFileNameFilter', 'accept', '_[a-z0-9]+(_.*)?\\..*', '_2.si')","[222000, 225471, 229397, 230077, 230757, 259748, 262454, 263309, 263749, 269177, 269630, 270070, 270517, 271168, 271740]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Find this repository (http://daisycms.org/maven/maven2/dev/), but there is just 2.5 versions of libs.')","[45540, 95890, 192366]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'In-Reply-To: <4580051.103361284066572901.JavaMail.jira@thor>')","[26990, 78040, 154684]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Date: Wed, 8 Sep 2010 10:40:37 -0400 (EDT)')",[120515]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1960')","[14415, 34815, 65465, 85165, 129534, 170370]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1200')","[141759, 182996]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: from [140.211.11.22] (HELO thor.apache.org) (140.211.11.22)')","[106165, 112465, 119865, 147609, 153509, 160609, 188991]"
"('LuceneIndexFileNameFilter.java', 'org.apache.mahout.text.LuceneIndexFileNameFilter', 'accept', '_[a-z0-9]+(_.*)?\\..*', 'segments_2')","[237096, 237657, 238374, 238682, 238997, 239312, 239620, 244341, 252910, 256467, 257819, 260750, 264196, 264511, 264819, 268239, 268554, 268862]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Date: Thu, 9 Sep 2010 17:11:38 -0400 (EDT)')",[154159]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'This is another test message.')","[274752, 277628]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1726 Implementation of Source that supports conditional GETs')","[133659, 174583]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'From dev-return-102531-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Thu Sep 09 21:12:00 2010')","[25265, 76315, 151234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Date: Fri, 17 Sep 2010 20:14:38 -0400 (EDT)')","[44190, 94540, 189666]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Mailing-List: contact ant-user-help@jakarta.apache.org; run by ezmlm')","[272267, 273667, 275072, 276512]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '>                 URL: https://issues.apache.org/jira/browse/COCOON-2300')",[115615]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', ""COCOON-1384 [PATCH] flow redirector should allow explicit 'cocoon:' scheme"")","[18590, 38990, 69640, 89340, 137884, 179018]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testNonNumeric(org.apache.mahout.utils.vectors.arff.ARFFVectorIterableTest)')","[174917, 182009, 182020, 182080]"
