"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.cc.lmsfc.common.test.RedisTest')","[284, 1649213]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceSubscription.class')","[159665, 488522, 817353, 1146184, 1475015]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'CloseSuppressingInvocationHandler.class')","[198599, 527456, 856287, 1185118, 1513949]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$8.class')","[182075, 510932, 839763, 1168594, 1497425]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QArtTaskJobRunLogDAOImpl.class\\E', 'ArtTaskJobRunLogDAO.class')","[243031, 581800, 950279, 1249374, 1637677]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'SpelExpressionStringQueryParameterBinder.class')","[86225, 415082, 743913, 1072744, 1401575]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QArticleElementDAOImpl.class\\E', 'ResourceDAO.class')","[257899, 626404, 885851, 1244418, 1593073]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaAuditingRegistrar.class')","[97835, 426692, 755523, 1084354, 1413185]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'GeoModule$PolygonMixin.class')","[108473, 437330, 766161, 1094992, 1423823]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Metrics.class')","[108581, 437438, 766269, 1095100, 1423931]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultListOperations$17.class')","[184019, 512876, 841707, 1170538, 1499369]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultSetOperations$14.class')","[185639, 514496, 843327, 1172158, 1500989]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JodaTimeConverters$DateToDateMidnightConverter.class')","[111929, 440786, 769617, 1098448, 1427279]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisTemplate$8.class')","[182399, 511256, 840087, 1168918, 1497749]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AuditableBeanWrapperFactory$DateConvertingAuditableBeanWrapper.class')","[142115, 470972, 799803, 1128634, 1457465]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaSort$1.class')","[76397, 405254, 734085, 1062916, 1391747]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$4.class')","[183803, 512660, 841491, 1170322, 1499153]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisTemplate$13.class')","[191147, 520004, 848835, 1177666, 1506497]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'TimeoutUtils.class')","[182507, 511364, 840195, 1169026, 1497857]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'MappingContextTypeInformationMapper.class')","[111659, 440516, 769347, 1098178, 1427009]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ExtensionAwareEvaluationContextProvider$FunctionMethodExecutor.class')","[120353, 449210, 778041, 1106872, 1435703]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ScriptingException.class')","[200327, 529184, 858015, 1186846, 1515677]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Function.class')","[118139, 446996, 775827, 1104658, 1433489]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PagedResourcesAssembler$SimplePagedResourceAssembler.class')","[109229, 438086, 766917, 1095748, 1424579]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaQueryCreator$1.class')","[91409, 420266, 749097, 1077928, 1406759]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultSortCriterion.class')","[201515, 530372, 859203, 1188034, 1516865]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ResourceReaderRepositoryPopulator.class')","[122297, 451154, 779985, 1108816, 1437647]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'test2(com.cc.lmsfc.common.test.HttpClientTest)')","[120, 410]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'test3(com.cc.lmsfc.common.test.HttpClientTest)')","[141, 431]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'jredis')","[164741, 493598, 822429, 1151260, 1480091]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Specifications.class')","[77369, 406226, 735057, 1063888, 1392719]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ListOperations.class')","[197087, 525944, 854775, 1183606, 1512437]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AnnotationAuditingMetadata.class')","[141899, 470756, 799587, 1128418, 1457249]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QArticleTaskJobDAOImpl.class\\E', 'ArtTaskJobRunLogDAO.class')","[272767, 631360, 920543, 1219638, 1558381]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JredisUtils$1.class')","[165443, 494300, 823131, 1151962, 1480793]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisMessageListenerContainer$DispatchMessageListener.class')","[177377, 506234, 835065, 1163896, 1492727]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'UserCredentials.class')","[142979, 471836, 800667, 1129498, 1458329]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaResultConverters$BlobToByteArrayConverter.class')","[85577, 414434, 743265, 1072096, 1400927]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'model')","[34223, 101345, 363080, 430202, 691911, 759033, 1020742, 1087864, 1349573, 1416695]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'CamelCaseSplittingFieldNamingStrategy.class')","[105179, 434036, 762867, 1091698, 1420529]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'StringQuery$LikeParameterBinding.class')","[87305, 416162, 744993, 1073824, 1402655]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'redisTest(com.cc.lmsfc.common.test.RedisTest)')","[326, 578]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QArtTaskJobRunLogDAOImpl.class\\E', 'BatchArticleTaskJobDAO.class')","[247161, 585930, 954409, 1253504, 1641807]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaPersistentEntityImpl.class')","[100481, 429338, 758169, 1087000, 1415831]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'GenericArrayTypeInformation.class')","[110417, 439274, 768105, 1096936, 1425767]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QFilterDAOImpl.class\\E', 'UserDAO.class')","[232293, 551238, 979189, 1228724, 1577379]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'EntityPathResolver.class')","[137903, 466760, 795591, 1124422, 1453253]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'FilterRuleServiceImpl.class')","[57749, 386606, 715437, 1044268, 1373099]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaParameters$JpaParameter.class')","[86657, 415514, 744345, 1073176, 1402007]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AbstractOperations$ValueDeserializingRedisCallback.class')","[193631, 522488, 851319, 1180150, 1508981]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'CrudMethodMetadataPostProcessor$DefaultCrudMethodMetadata.class')","[80825, 409682, 738513, 1067344, 1396175]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaMetamodelEntityInformation.class')","[84065, 412922, 741753, 1070584, 1399415]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultCrudMethods.class')","[131099, 459956, 788787, 1117618, 1446449]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'CreatedDate.class')","[138497, 467354, 796185, 1125016, 1453847]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'SrpConverters$5.class')","[155723, 484580, 813411, 1142242, 1471073]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'TaskJob.class')","[27572, 356429, 685260, 1014091, 1342922]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JsonDateFormatFull.class')","[40000, 368857, 697688, 1026519, 1355350]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Querydsl.class')","[80177, 409034, 737865, 1066696, 1395527]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'SrpConverters$6.class')","[154913, 483770, 812601, 1141432, 1470263]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultListOperations$18.class')","[192011, 520868, 849699, 1178530, 1507361]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConverters.class')","[160637, 489494, 818325, 1147156, 1475987]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'StringQuery$1.class')","[85145, 414002, 742833, 1071664, 1400495]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'EnableJpaRepositories.class')","[99293, 428150, 756981, 1085812, 1414643]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ArticleCategoryServiceImpl.class')","[56241, 385098, 713929, 1042760, 1371591]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$20.class')","[189311, 518168, 846999, 1175830, 1504661]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'StoredProcedureJpaQuery.class')","[93785, 422642, 751473, 1080304, 1409135]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'EntityGraph$EntityGraphType.class')","[99941, 428798, 757629, 1086460, 1415291]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaQueryCreator$PredicateBuilder.class')","[95513, 424370, 753201, 1082032, 1410863]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'SrpMessageListener.class')","[153293, 482150, 810981, 1139812, 1468643]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RevisionEntityInformation.class')","[112955, 441812, 770643, 1099474, 1428305]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultSetOperations$5.class')","[179591, 508448, 837279, 1166110, 1494941]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'TransactionalRepositoryProxyPostProcessor$AbstractFallbackTransactionAttributeSource$DefaultCacheKey.class')","[133691, 462548, 791379, 1120210, 1449041]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSpec(com.cc.lmsfc.common.test.CommonTest)')","[223, 494]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'context')","[101399, 430256, 759087, 1087918, 1416749]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Slice.class')","[140873, 469730, 798561, 1127392, 1456223]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'BoundValueOperations.class')","[198059, 526916, 855747, 1184578, 1513409]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ConnectionUtils.class')","[147893, 476750, 805581, 1134412, 1463243]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JedisConverters$1.class')","[166685, 495542, 824373, 1153204, 1482035]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$27.class')","[193523, 522380, 851211, 1180042, 1508873]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ResourceReader$Type.class')","[123107, 451964, 780795, 1109626, 1438457]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'MappingInstantiationException.class')","[103775, 432632, 761463, 1090294, 1419125]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PersistenceProvider$3.class')","[81041, 409898, 738729, 1067560, 1396391]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisMessageListenerContainer$SubscriptionTask$PatternSubscriptionPresentCondition.class')","[177269, 506126, 834957, 1163788, 1492619]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Point.class')","[108635, 437492, 766323, 1095154, 1423985]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RepositoryComponentProvider$AllTypeFilter.class')","[128669, 457526, 786357, 1115188, 1444019]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'test3(com.cc.lmsfc.common.test.CommonTest)')","[265, 536]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qrepository\\E', 'listener')","[178619, 178781, 178943, 179105, 179267, 507476, 507638, 507800, 507962, 508124, 836307, 836469, 836631, 836793, 836955, 1165138, 1165300, 1165462, 1165624, 1165786, 1493969, 1494131, 1494293, 1494455, 1494617]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'EntityInstantiator.class')","[112577, 441434, 770265, 1099096, 1427927]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JodaTimeConverters$DateMidnightToDateConverter.class')","[112199, 441056, 769887, 1098718, 1427549]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ConvertingCursor.class')","[185747, 514604, 843435, 1172266, 1501097]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConnection$3.class')","[158693, 487550, 816381, 1145212, 1474043]"
