"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '1 0 0')",[91077]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', '총원으로 101가 입력된다')",[73509]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", ""시스템 출력: '1번선수 정보를 입력하시오'"")","[99965, 103772, 104644]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '총원으로 5가 입력된다')",[71471]
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isNumeric', '\\d+', '101')",[73931]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', '1번 선수정보가 1 0로 입력된다')",[93382]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^입력은 (.+)하다$', ""사용자 입력: '5 1 4'"")",[102231]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '1번 선수정보가 1 1로 입력된다')",[91743]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^입력은 (.+)하다$', '6번 선수정보가 6 0로 입력된다')",[81183]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""시스템 출력: '4번선수 정보를 입력하시오'"")",[101463]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '5번 선수정보가 5 1 3로 입력된다')",[79866]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '1번 선수정보가 A 1 B로 입력된다')",[77186]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '5번 선수정보가 5 1 3로 입력된다')",[79912]
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'registerNatives')","[55442, 56000, 56558, 57116, 57662, 58206, 58750, 59294, 59838, 60382, 60926, 61470, 62026, 62584, 63142, 63700, 64246, 64802, 65348, 65892, 66448, 66994, 67718, 68472]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '1번 선수정보가 1 2 2 3로 입력된다')",[94469]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 1 | 1 1 | invalid |)"")","[32294, 32324, 36779, 36804, 92543, 92646]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""시스템 출력: '5번선수 정보를 입력하시오'"")",[101862]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', '1번 선수정보가 1 2 2로 입력된다')",[88971]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '총원으로 101가 입력된다')",[73233]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""사용자 입력: '2 1 3'"")",[100734]
"('FormatterFactory.java', 'cucumber.runtime.formatter.FormatterFactory', 'create', '([^:]+):(.*)', 'html:target/cucumber')",[174]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", ""시스템 출력: '5번선수 정보를 입력하시오'"")",[102042]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '1번 선수정보가 1 2 2 3로 입력된다')",[94653]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '1번 선수정보가 1 2 2로 입력된다')",[89017]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 5 | 5 1 3 | valid |')","[30333, 80431, 80534]"
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isNumeric', '\\d+', '-1')",[72935]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""시스템 출력: '1번선수 정보를 다시 입력하시오'"")",[105074]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', '1번 선수정보가 1 1 2로 입력된다')","[75869, 88136]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', ""시스템 출력: '2번선수 정보를 입력하시오'"")","[100605, 105773]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '입력은 valid하다')","[69801, 70797, 71793]"
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '1 1 1')",[84468]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 6 | 6 0 | invalid |)"")","[30566, 30596, 35979, 36004, 81845, 81948]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 100 | valid |')","[28948, 70995, 71098]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', ""시스템 출력: '3번선수 정보를 입력하시오'"")",[100914]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', '1번 선수정보가 1 3 2 3 4로 입력된다')",[97149]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 1 | 1 3 2 4 4 | invalid |)"")","[33362, 33392, 37279, 37304, 99324, 99395]"
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '1 1')",[92440]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '그 입력 선수정보는 invalid하다')","[77554, 78917, 81643, 83006, 84369, 87095, 89615, 90978, 92341, 96430, 99155]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Then 시스템 출력: '5번선수 정보를 입력하시오'(Scenario: 기본 예제)"")","[34089, 34115, 37630]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^입력은 (.+)하다$', ""사용자 입력: '3 0'"")",[101253]
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'wait')","[55122, 55162, 55202, 55680, 55720, 55760, 56238, 56278, 56318, 56796, 56836, 56876, 57350, 57389, 57428, 57894, 57933, 57972, 58438, 58477, 58516, 58982, 59021, 59060, 59526, 59565, 59604, 60070, 60109, 60148, 60614, 60653, 60692, 61158, 61197, 61236, 61706, 61746, 61786, 62264, 62304, 62344, 62822, 62862, 62902, 63380, 63420, 63460, 63934, 63973, 64012, 64482, 64522, 64562, 65036, 65075, 65114, 65580, 65619, 65658, 66128, 66168, 66208, 66682, 66721, 66760, 67286, 67340, 67394, 68040, 68094, 68148]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then 그 입력 선수정보는 valid하다(| 1 | 1 1 2 | valid |)')","[29868, 29898, 31800, 31830, 35654, 36554]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', ""시스템 출력: '총 선수 수를 입력하시오'"")","[99455, 102772, 104134]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', ""시스템 출력: '총 선수 수를 다시 입력하시오'"")",[103432]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'pop()')","[24415, 26625, 26973, 27169, 27365, 27561, 27757]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'OptimalTeamSelector.class')","[18842, 51224]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""사용자 입력: '2 1 3'"")",[100644]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""시스템 출력: '5번선수 정보를 입력하시오'"")",[101952]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario Outline: 싫어하는 선수가 한 라인에 두번 나올 수 없다')",[32669]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '3번 선수정보가 3 1 8로 입력된다')",[82638]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 1 | 1 1 2 | valid |)"")","[29750, 29780, 31682, 31712, 35579, 35604, 36479, 36504, 76393, 76496]"
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '1 1 -1')",[38488]
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '3 0')","[68828, 69075, 101592]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When 1번 선수정보가 1 1로 입력된다(| 1 | 1 1 | invalid |)')","[32353, 32383, 36829]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""When 사용자 입력: '5'(Scenario: 선수정보에 오류가 있을 경우)"")","[34594, 34620, 37883]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', '1번 선수정보가 1 2 2 3로 입력된다')",[94423]
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'notifyAll')","[55522, 56080, 56638, 57196, 57740, 58284, 58828, 59372, 59916, 60460, 61004, 61548, 62106, 62664, 63222, 63780, 64324, 64882, 65426, 65970, 66528, 67072, 67826, 68580]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'TeamMaker.class')","[19755, 51851]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'net.oddpoet.cucumber.sample.component.InputValidatorTest')","[28461, 38514]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', '총원으로 5가 입력된다')",[71517]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', ""사용자 입력: '1 1 2'"")","[100305, 105473]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', ""시스템 출력: '5번선수 정보를 입력하시오'"")",[102072]
"('Utils.java', 'cucumber.runtime.Utils', 'toURL', '^(file|http|https):.*', 'target/cucumber/')","[212, 249]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""사용자 입력: '4 2 2 3'"")",[101712]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 1 | 1 0 0 | invalid |')","[32061, 91129, 91232]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^입력은 (.+)하다$', '1번 선수정보가 A 1 B로 입력된다')",[77094]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '총원으로 1가 입력된다')",[74413]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '1번 선수정보가 1 2 3 4로 입력된다')",[85134]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", ""시스템 출력: '2번선수 정보를 입력하시오'"")","[100455, 105623]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When 1번 선수정보가 1 1 2로 입력된다(| 1 | 1 1 2 | valid |)')","[29809, 29839, 31741, 31771, 35629, 36529]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'testsupport')","[3830, 40944]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'getInputReader')","[55042, 55600, 56158, 56716, 57272, 57816, 58360, 58904, 59448, 59992, 60536, 61080, 61626, 62184, 62742, 63300, 63856, 64402, 64958, 65502, 66048, 66604, 67178, 67932]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When 1번 선수정보가 1 1 1로 입력된다(| 1 | 1 1 1 | invalid |)')","[31081, 31111, 36229]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '6번 선수정보가 6 0로 입력된다')",[81275]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'net.oddpoet.cucumber.sample.component.TeamMakerTest')","[28606, 105934]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Then 시스템 출력: '4번선수 정보를 입력하시오'(Scenario: 기본 예제)"")","[33987, 34013, 37584]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qhome\\E', 'home')","[364, 1185, 2098, 3010, 3912, 4733, 5645, 6547, 7368, 8281, 9194, 10106, 11008, 11829, 12741, 13643, 14464, 15376, 16278, 17099, 18012, 18925, 19838, 20751, 21664, 22576, 23478, 38570, 39131, 39758, 40384, 41000, 41561, 42187, 42803, 43364, 43991, 44618, 45244, 45860, 46421, 47047, 47663, 48224, 48850, 49466, 50027, 50654, 51281, 51908, 52535, 53162, 53788, 54404]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario: 선수정보에 오류가 있을 경우')","[34518, 105826, 105869]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""사용자 입력: '-10'"")",[102982]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then 그 입력 선수정보는 valid하다(| 1 | 1 2 2 3 | valid |)')","[32868, 32898, 37054]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '1번 선수정보가 1 1 1로 입력된다')",[83955]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When 1번 선수정보가 1 0 0로 입력된다(| 1 | 1 0 0 | invalid |)')","[32149, 32179, 36729]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '총원으로 100가 입력된다')",[70429]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '입력은 valid하다')","[69847, 70843, 71839]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""사용자 입력: '5'"")","[99665, 104344]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", '총원으로 100가 입력된다')",[70291]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 3 | 3 1 8 | invalid |)"")","[30770, 30800, 36079, 36104, 83208, 83311]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", '1번 선수정보가 1 2 2로 입력된다')",[89063]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""사용자 입력: '1 1 2'"")","[100155, 105323]"
"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isNumeric', '\\d+', '-10')",[103442]
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'component')","[10926, 23396, 45804, 54348]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^입력은 (.+)하다$', '그 입력 선수정보는 valid하다')","[76099, 80188, 85640, 88366, 93612, 94975, 97701]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'step')","[26742, 26780, 26818, 26856, 27014, 27052, 27210, 27248, 27406, 27444, 27602, 27640, 27798, 27874, 27912, 27950, 27988, 28026, 28102, 28140, 28178, 28216, 28254, 28292, 28330]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'feature')","[24456, 26666]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'TeamCreateService.class')","[21581, 53105]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', '총원으로 100가 입력된다')",[70199]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", ""사용자 입력: '5'"")","[99725, 104404]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given 총원으로 2가 입력된다(| 2 | valid |)')","[28832, 28862, 35129, 35154, 70050, 70153]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", '1번 선수정보가 1 2 3 3로 입력된다')",[95924]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then 그 입력 선수정보는 invalid하다(| 1 | 1 1 1 | invalid |)')","[31140, 31170, 36254]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', ""시스템 출력: '2번선수 정보를 입력하시오'"")","[100425, 105593]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'test_fail_case(net.oddpoet.cucumber.sample.component.InputDataReaderTest)')","[28667, 35083]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""When 사용자 입력: '-10'(Scenario: 총 선수 수에 오류가 있을 경우)"")","[34316, 34342, 37745]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""시스템 출력: '총 선수 수를 다시 입력하시오'"")",[103222]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", ""사용자 입력: 'A 1 B'"")",[104894]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 시스템 출력: '총 선수 수를 입력하시오'(Scenario: 선수정보에 오류가 있을 경우)"")","[34543, 34569, 37837, 37860, 105847, 105890]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario Outline: 선수번호의 범위는 (1~총원)이어야 한다')",[29669]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', ""사용자 입력: '4 2 2 3'"")",[101652]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '1번 선수정보가 1 1로 입력된다')",[91973]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^사용자 입력: '(.+)'$"", '총원으로 -1가 입력된다')",[72283]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'push(meta)')","[24336, 26546, 26894, 27090, 27286, 27482, 27678]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""시스템 출력: '총 선수 수를 다시 입력하시오'"")",[103312]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Given 총원이 '5'이고(| 5 | 5 1 3 | valid |)"")","[30362, 30392, 35879, 35904, 80482, 80585]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', ""사용자 입력: '-10'"")",[103012]
