"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'www.coach.com')","[2287, 2479, 2766, 49062, 49256, 49546]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 09 Jan 2018 15:59:42 GMT')","[46893, 46971, 103952, 104031]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 14 Nov 2017 11:15:30 GMT')","[2846, 3004, 11584, 11742, 11900, 12058, 12667, 12825, 49627, 49787, 58450, 58610, 60930, 61090, 61524, 61684]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sat, 01 Jan 2000 00:00:00 GMT')","[12227, 12316]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'www.google-analytics.com')","[5034, 5247, 5567, 8029, 8260, 8607, 51835, 52050, 52373, 54856, 55089, 55439]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'use.typekit.net')","[11025, 11217, 11504, 57885, 58079, 58369]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 16 Jan 2018 04:56:58 GMT')","[104093, 104218]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 05:22:31 GMT')","[12407, 12496, 61261, 61351]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Fri, 16 Jun 2017 20:53:50 GMT')","[9001, 9079, 43645, 43734, 55837, 55916, 92811, 92901, 92993, 93083]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'cdn.cquotient.com')","[46334, 46526, 46813, 103387, 103581, 103871]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 's.ytimg.com')","[28338, 28860, 29174, 29488, 29802, 30116, 30430, 30744, 31058, 31372, 31686, 32000, 32314, 32628, 32942, 33256, 33570, 33884, 34198, 34512, 34826, 35140, 35454, 35768, 36082, 36396, 36710, 37024, 37338, 37652, 37966, 38280, 38594, 38908, 39222, 39536, 39850, 40164, 40478, 40792, 41106, 41420, 41734, 42048, 42362, 42676, 77356, 77883, 78200, 78517, 78834, 79151, 79468, 79785, 80102, 80419, 80736, 81053, 81370, 81687, 82004, 82321, 82638, 82955, 83272, 83589, 83906, 84223, 84540, 84857, 85174, 85491, 85808, 86125, 86442, 86759, 87076, 87393, 87710, 88027, 88344, 88661, 88978, 89295, 89612, 89929, 90246, 90563, 90880, 91197, 91514, 91831]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 13 Feb 2018 13:30:36 GMT')","[11980, 12136, 12747, 12903, 43398, 43554, 44092, 44248, 59771, 59985, 60203, 60417, 60635, 60849, 61011, 61169, 61605, 61763, 92561, 92719, 101122, 101280]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 05:01:52 GMT')","[58907, 59121]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'www.loopassets.net')","[95770, 95988, 96314, 96640, 96966, 99276, 99510, 99860, 100210, 100560]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'www.loopassets.net')","[95662, 95879, 96205, 96531, 96857, 99160, 99393, 99743, 100093, 100443]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testParserContent(com.flyhz.avengers.parser.CoachUrlParserTest)')","[95, 176]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 13 Nov 2017 20:19:12 GMT')","[5765, 5945, 52573, 52755]"
"('Cipher.java', 'javax.crypto.Cipher$Transform', 'supports', 'NOPADDING|PKCS5PADDING|ISO10126PADDING', 'NOPADDING')","[727, 937, 1373, 1591, 1797, 2003, 3415, 3647, 4127, 4367, 4595, 4823, 6284, 6534, 7050, 7308, 7554, 7800, 9465, 9675, 10111, 10329, 10535, 10741, 13113, 13323, 13541, 13759, 13965, 14171, 27087, 27315, 27551, 27787, 28011, 28235, 44774, 44984, 45420, 45638, 45844, 46050, 47487, 47699, 48139, 48359, 48567, 48775, 50202, 50436, 50920, 51162, 51392, 51622, 53097, 53349, 53869, 54129, 54377, 54625, 56310, 56522, 56962, 57182, 57390, 57598, 61975, 62187, 62407, 62627, 62835, 63043, 76094, 76324, 76562, 76800, 77026, 77252, 94015, 94251, 94739, 94983, 95215, 95447, 97401, 97653, 98173, 98433, 98681, 98929, 101812, 102024, 102464, 102684, 102892, 103100]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Thu, 28 Dec 2017 18:20:11 GMT')","[93408, 93656]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Thu, 01 Dec 1994 16:00:00 GMT')","[3183, 49968]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sun, 14 Jan 2018 04:56:58 GMT')","[104155, 104281]"
